workerid,noun,gender,nounclass,slide_number,predicate2,predicate1,class2,response,class1
0,couch,feminine,furniture,3,old,red,age,0.06,color
0,cheese,masculine,food,4,small,smooth,size,1,texture
0,cheese,masculine,food,5,fresh,good,age,0.02,quality
0,TV,masculine,furniture,6,yellow,old,color,0.03,age
0,tomato,feminine,food,7,big,wooden,size,0,material
0,desk,masculine,furniture,8,bad,metal,quality,0.04,material
0,cheese,masculine,food,9,short,hard,size,0.97,texture
0,desk,masculine,furniture,10,purple,good,color,0.03,quality
0,TV,masculine,furniture,11,new,short,age,0.99,size
0,carrot,feminine,food,12,brown,good,color,0.04,quality
0,banana,feminine,food,13,round,hard,shape,0.03,texture
0,fan,feminine,furniture,14,brown,smooth,color,0.05,texture
0,banana,feminine,food,15,round,smooth,shape,0.05,texture
0,chair,masculine,furniture,16,blue,new,color,0.98,age
0,tomato,feminine,food,17,old,wooden,age,0.04,material
0,banana,feminine,food,18,round,yellow,shape,0.97,color
0,desk,masculine,furniture,19,old,brown,age,0.99,color
0,desk,masculine,furniture,20,wooden,small,material,0.02,size
0,banana,feminine,food,21,round,old,shape,0.79,age
0,TV,masculine,furniture,22,round,wooden,shape,0.7,material
0,banana,feminine,food,23,rotten,plastic,age,0.64,material
0,couch,feminine,furniture,24,old,brown,age,0.9,color
0,banana,feminine,food,25,hard,metal,texture,0.2,material
0,banana,feminine,food,26,huge,good,size,0.2,quality
0,TV,masculine,furniture,27,brown,soft,color,0,texture
0,banana,feminine,food,28,short,bad,size,0.23,quality
1,fan,feminine,furniture,3,square,rotten,shape,0.1,age
1,desk,masculine,furniture,4,blue,bad,color,0.02,quality
1,carrot,feminine,food,5,red,rotten,color,0.03,age
1,carrot,feminine,food,6,long,blue,size,0.98,color
1,tomato,feminine,food,7,good,fresh,quality,0.06,age
1,tomato,feminine,food,8,smooth,purple,texture,0.03,color
1,fan,feminine,furniture,9,long,green,size,0.97,color
1,apple,feminine,food,10,hard,new,texture,0.02,age
1,desk,masculine,furniture,11,old,long,age,0.09,size
1,desk,masculine,furniture,12,bad,purple,quality,0.93,color
1,TV,masculine,furniture,13,brown,new,color,0.05,age
1,carrot,feminine,food,14,blue,big,color,0.02,size
1,tomato,feminine,food,15,long,square,size,0.96,shape
1,apple,feminine,food,16,plastic,huge,material,0.05,size
1,TV,masculine,furniture,17,yellow,short,color,0.05,size
1,fan,feminine,furniture,18,small,good,size,0.03,quality
1,couch,feminine,furniture,19,rotten,yellow,age,0.93,color
1,apple,feminine,food,20,blue,big,color,0.09,size
1,carrot,feminine,food,21,good,plastic,quality,0.92,material
1,desk,masculine,furniture,22,blue,huge,color,0.07,size
1,banana,feminine,food,23,big,soft,size,0.05,texture
1,apple,feminine,food,24,blue,big,color,0.04,size
1,fan,feminine,furniture,25,wooden,long,material,0.02,size
1,TV,masculine,furniture,26,huge,blue,size,1,color
1,apple,feminine,food,27,round,yellow,shape,0.98,color
1,carrot,feminine,food,28,smooth,round,texture,0.97,shape
2,fan,feminine,furniture,3,big,soft,size,0.5,texture
2,TV,masculine,furniture,4,hard,huge,texture,0.47,size
2,fan,feminine,furniture,5,smooth,small,texture,0.6,size
