date,workerid,amount
Thu Feb 14 08:41:06 PST 2019,A2RGPQ22MG4VES,0.5
Thu Feb 14 12:30:39 PST 2019,AKHS3KLETJFFX,0.5
Thu Feb 14 14:40:29 PST 2019,AS3EK231B9HVU,0.5
Fri Feb 15 00:25:03 PST 2019,A1VAJ8OA2BX7RP,0.5
Fri Feb 15 00:26:29 PST 2019,A3329OQT52I6TJ,0.5
Fri Feb 15 02:48:20 PST 2019,A19HCBT1EH8484,0.5
Fri Feb 15 18:48:09 PST 2019,AVGXZJX2ETEAC,0.5
Fri Feb 15 20:47:54 PST 2019,A3LSKI2XM8MPEB,0.5
Sat Feb 16 12:58:14 PST 2019,A1A0CCHKMCLT0A,0.5
,total paid to workers:,=SUM(c2:c10)
,40% paid to Amazon:,=.4*c11
,total:,=SUM(c11:c12
