"","workerid","noun","nounclass","predicateposition","predicate","correctresponse","correctclass"
"1","vi. 10","couch","furniture","predicate1","short",0.23,"size"
"2","vi. 10","banana","food","predicate1","fresh",0.89,"age"
"3","vi. 10","chair","furniture","predicate1","red",0.0600000000000001,"color"
"4","vi. 10","tomato","food","predicate1","wooden",0.97,"material"
"5","vi. 10","banana","food","predicate1","wooden",0.97,"material"
"6","vi. 10","cheese","food","predicate1","short",0.01,"size"
"7","vi. 10","chair","furniture","predicate1","soft",1,"texture"
"8","vi. 10","cheese","food","predicate1","soft",0.02,"texture"
"9","vi. 10","chair","furniture","predicate1","new",0.93,"age"
"10","vi. 10","TV","furniture","predicate1","purple",0.15,"color"
"11","vi. 10","apple","food","predicate1","yellow",0.5,"color"
"12","vi. 10","tomato","food","predicate1","hard",0.89,"texture"
"13","vi. 10","chair","furniture","predicate1","square",0.08,"shape"
"14","vi. 10","carrot","food","predicate1","fresh",0.05,"age"
"15","vi. 10","banana","food","predicate1","metal",0.92,"material"
"16","vi. 10","tomato","food","predicate1","big",0.07,"size"
"17","vi. 10","banana","food","predicate1","brown",0.92,"color"
"18","vi. 10","tomato","food","predicate1","rotten",0.55,"age"
"19","vi. 10","carrot","food","predicate1","round",0.96,"shape"
"20","vi. 10","fan","furniture","predicate1","red",0.11,"color"
"21","vi. 10","TV","furniture","predicate1","square",0.94,"shape"
"22","vi. 10","fan","furniture","predicate1","huge",0.88,"size"
"23","vi. 10","desk","furniture","predicate1","good",0.92,"quality"
"24","vi. 10","desk","furniture","predicate1","brown",0.04,"color"
"25","vi. 10","cheese","food","predicate1","bad",0.93,"quality"
"26","vi. 10","chair","furniture","predicate1","old",0.05,"age"
"27","vi. 14","desk","furniture","predicate1","hard",0.83,"texture"
"28","vi. 14","chair","furniture","predicate1","short",0.78,"size"
"29","vi. 14","chair","furniture","predicate1","new",0.81,"age"
"30","vi. 14","couch","furniture","predicate1","huge",0.17,"size"
"31","vi. 14","tomato","food","predicate1","long",0.16,"size"
"32","vi. 14","couch","furniture","predicate1","square",0.22,"shape"
"33","vi. 14","cheese","food","predicate1","green",0.28,"color"
"34","vi. 14","desk","furniture","predicate1","wooden",0.2,"material"
"35","vi. 14","fan","furniture","predicate1","round",0.28,"shape"
"36","vi. 14","banana","food","predicate1","purple",0.32,"color"
"37","vi. 14","fan","furniture","predicate1","long",0.25,"size"
"38","vi. 14","banana","food","predicate1","soft",0.85,"texture"
"39","vi. 14","chair","furniture","predicate1","plastic",0.77,"material"
"40","vi. 14","carrot","food","predicate1","big",0.43,"size"
"41","vi. 14","carrot","food","predicate1","bad",0.74,"quality"
"42","vi. 14","desk","furniture","predicate1","square",0.14,"shape"
"43","vi. 14","apple","food","predicate1","big",0.22,"size"
"44","vi. 14","chair","furniture","predicate1","old",0.77,"age"
"45","vi. 14","desk","furniture","predicate1","old",0.87,"age"
"46","vi. 14","cheese","food","predicate1","old",0.86,"age"
"47","vi. 14","desk","furniture","predicate1","hard",0.22,"texture"
"48","vi. 14","couch","furniture","predicate1","hard",0.26,"texture"
"49","vi. 14","couch","furniture","predicate1","long",0.32,"size"
"50","vi. 14","fan","furniture","predicate1","big",0.23,"size"
"51","vi. 14","tomato","food","predicate1","soft",0.23,"texture"
"52","vi. 14","fan","furniture","predicate1","plastic",0.26,"material"
"53","vi. 35","carrot","food","predicate1","hard",0,"texture"
"54","vi. 35","couch","furniture","predicate1","plastic",0,"material"
"55","vi. 35","cheese","food","predicate1","brown",0,"color"
"56","vi. 35","apple","food","predicate1","huge",1,"size"
"57","vi. 35","chair","furniture","predicate1","wooden",0,"material"
"58","vi. 35","TV","furniture","predicate1","bad",1,"quality"
"59","vi. 35","cheese","food","predicate1","plastic",0,"material"
"60","vi. 35","banana","food","predicate1","new",1,"age"
"61","vi. 35","tomato","food","predicate1","fresh",0,"age"
"62","vi. 35","chair","furniture","predicate1","wooden",0,"material"
"63","vi. 35","carrot","food","predicate1","square",0,"shape"
"64","vi. 35","apple","food","predicate1","metal",0,"material"
"65","vi. 35","couch","furniture","predicate1","bad",1,"quality"
"66","vi. 35","apple","food","predicate1","new",1,"age"
"67","vi. 35","cheese","food","predicate1","square",0,"shape"
"68","vi. 35","chair","furniture","predicate1","round",0,"shape"
"69","vi. 35","carrot","food","predicate1","red",0,"color"
"70","vi. 35","apple","food","predicate1","square",0,"shape"
"71","vi. 35","desk","furniture","predicate1","metal",0,"material"
"72","vi. 35","banana","food","predicate1","good",0,"quality"
"73","vi. 35","banana","food","predicate1","new",1,"age"
"74","vi. 35","apple","food","predicate1","soft",1,"texture"
"75","vi. 35","desk","furniture","predicate1","long",1,"size"
"76","vi. 35","TV","furniture","predicate1","rotten",1,"age"
"77","vi. 35","desk","furniture","predicate1","smooth",1,"texture"
"78","vi. 35","cheese","food","predicate1","plastic",0,"material"
