"","response","workerID","noun","nounclass","predicateposition","predicate","correctresponse","correctclass"
"1",1,7,"chair","furniture","predicate1","round",1,"shape"
"2",1,7,"desk","furniture","predicate1","hard",1,"texture"
"3",1,7,"fan","furniture","predicate1","metal",1,"material"
"4",0,7,"couch","furniture","predicate1","plastic",0,"material"
"5",0.5,7,"carrot","food","predicate1","soft",0.5,"texture"
"6",0,7,"tomato","food","predicate1","soft",0,"texture"
"7",0,7,"tomato","food","predicate1","plastic",0,"material"
"8",0,7,"cheese","food","predicate1","wooden",0,"material"
"9",1,7,"carrot","food","predicate1","old",1,"age"
"10",0,7,"couch","furniture","predicate1","good",0,"quality"
"11",0,7,"apple","food","predicate1","green",0,"color"
"12",1,7,"chair","furniture","predicate1","smooth",1,"texture"
"13",0,7,"apple","food","predicate1","round",0,"shape"
"14",1,7,"chair","furniture","predicate1","tiny",1,"size"
"15",0,7,"tomato","food","predicate1","new",0,"age"
"16",0,7,"tomato","food","predicate1","tiny",0,"size"
"17",1,7,"couch","furniture","predicate1","brown",1,"color"
"18",0,7,"apple","food","predicate1","blue",0,"color"
"19",0,7,"desk","furniture","predicate1","round",0,"shape"
"20",1,7,"chair","furniture","predicate1","tiny",1,"size"
"21",0.47,7,"cheese","food","predicate1","blue",0.47,"color"
"22",0,7,"tomato","food","predicate1","metal",0,"material"
"23",0,7,"chair","furniture","predicate1","green",0,"color"
"24",1,7,"chair","furniture","predicate1","small",1,"size"
"25",0.67,7,"apple","food","predicate1","broken",0.67,"quality"
"26",0,7,"cheese","food","predicate1","hard",0,"texture"
"27",1,8,"tomato","food","predicate1","tiny",1,"size"
"28",0,8,"cheese","food","predicate1","purple",0,"color"
"29",1,8,"cheese","food","predicate1","square",1,"shape"
"30",0.99,8,"carrot","food","predicate1","rotten",0.99,"age"
"31",0,8,"apple","food","predicate1","yellow",0,"color"
"32",0,8,"carrot","food","predicate1","metal",0,"material"
"33",1,8,"carrot","food","predicate1","square",1,"shape"
"34",0.04,8,"carrot","food","predicate1","short",0.04,"size"
"35",0.87,8,"TV","furniture","predicate1","yellow",0.87,"color"
"36",0.77,8,"fan","furniture","predicate1","square",0.77,"shape"
"37",0.13,8,"banana","food","predicate1","red",0.13,"color"
"38",0.85,8,"tomato","food","predicate1","small",0.85,"size"
"39",0.13,8,"fan","furniture","predicate1","green",0.13,"color"
"40",0.16,8,"tomato","food","predicate1","round",0.16,"shape"
"41",0.87,8,"TV","furniture","predicate1","broken",0.87,"quality"
"42",0.07,8,"couch","furniture","predicate1","green",0.07,"color"
"43",0.14,8,"fan","furniture","predicate1","broken",0.14,"quality"
"44",0.09,8,"apple","food","predicate1","broken",0.09,"quality"
"45",0.79,8,"fan","furniture","predicate1","yellow",0.79,"color"
"46",0.1,8,"fan","furniture","predicate1","broken",0.1,"quality"
"47",0.87,8,"chair","furniture","predicate1","plastic",0.87,"material"
"48",0.79,8,"fan","furniture","predicate1","big",0.79,"size"
"49",0.34,8,"carrot","food","predicate1","green",0.34,"color"
"50",0.66,8,"chair","furniture","predicate1","wooden",0.66,"material"
"51",0.21,8,"tomato","food","predicate1","old",0.21,"age"
"52",0.78,8,"desk","furniture","predicate1","green",0.78,"color"
"53",1,9,"fan","furniture","predicate1","soft",1,"texture"
"54",1,9,"desk","furniture","predicate1","green",1,"color"
"55",1,9,"desk","furniture","predicate1","metal",1,"material"
"56",1,9,"tomato","food","predicate1","short",1,"size"
"57",0,9,"TV","furniture","predicate1","hard",0,"texture"
"58",0,9,"fan","furniture","predicate1","blue",0,"color"
