,class1,class2,gender,noun,nounclass,predicate1,predicate2,response,slide_number,language,enjoyment,asses,age,education,comments,prolific,Browser,OS,screenH,screenW,time_in_minutes,participant_id
0,texture,age,Female,tomato,food,soft,fresh,0.32,3,greg here,0,Yes,asdf,1,greg 0,greg prolific,Safari,Mac,1440,2560,0.32405,1
1,texture,shape,Female,desk,furniture,smooth,square,0.57,4,greg here,0,Yes,asdf,1,greg 0,greg prolific,Safari,Mac,1440,2560,0.32405,1
0,color,shape,Female,TV,furniture,purple,round,0.14,3,more greg,1,Yes,asdf,2,GREG1,greg prolific again,Safari,Mac,1440,2560,0.4983,2
1,quality,age,Female,banana,food,broken,fresh,0.57,4,more greg,1,Yes,asdf,2,GREG1,greg prolific again,Safari,Mac,1440,2560,0.4983,2
0,color,size,Female,cheese,food,brown,big,0.63,3,123,2,Yes,asdf,1,GREG2,prolific test ,Safari,Mac,1440,2560,0.3464833333333333,3
1,material,shape,Female,carrot,food,plastic,square,0.21,4,123,2,Yes,asdf,1,GREG2,prolific test ,Safari,Mac,1440,2560,0.3464833333333333,3
0,material,color,Female,chair,furniture,metal,yellow,0.23,3,GREG,0,Yes,asdf,1,GREG3,prolific some more,Safari,Mac,1440,2560,0.35051666666666664,4
1,quality,color,Female,desk,furniture,broken,purple,0.64,4,GREG,0,Yes,asdf,1,GREG3,prolific some more,Safari,Mac,1440,2560,0.35051666666666664,4
0,shape,color,,tomato,food,round,brown,0.32,3,,-1,,,-1,GREG4,,Safari,Mac,1440,2560,0.5564166666666667,5
1,quality,texture,,banana,food,broken,soft,0.57,4,,-1,,,-1,GREG4,,Safari,Mac,1440,2560,0.5564166666666667,5
2,material,color,,carrot,food,metal,red,0.42,5,,-1,,,-1,GREG4,,Safari,Mac,1440,2560,0.5564166666666667,5
0,quality,color,,desk,furniture,good,purple,0.31,3,,-1,,,-1,GREG5,greg prolific 5,Safari,Mac,1440,2560,0.27148333333333335,6
1,size,color,,desk,furniture,long,green,0.72,4,,-1,,,-1,GREG5,greg prolific 5,Safari,Mac,1440,2560,0.27148333333333335,6
